time,open,high,low,close,volume,ticker
964742400,100.00,100.00,100.00,100.00,4200,VNINDEX
965001600,101.55,101.55,101.55,101.55,10300,VNINDEX
965174400,103.38,103.38,103.38,103.38,300,VNINDEX
965347200,105.20,105.20,105.20,105.20,3800,VNINDEX
965606400,106.92,106.92,106.92,106.92,13200,VNINDEX
965779200,108.64,108.64,108.64,108.64,15930,VNINDEX
965952000,110.36,110.36,110.36,110.36,13600,VNINDEX
966211200,112.08,112.08,112.08,112.08,11700,VNINDEX
966384000,113.80,113.80,113.80,113.80,23000,VNINDEX
966556800,115.52,115.52,115.52,115.52,10400,VNINDEX
966816000,117.24,117.24,117.24,117.24,35500,VNINDEX
966988800,118.96,118.96,118.96,118.96,111400,VNINDEX
967161600,118.84,118.84,118.84,118.84,95220,VNINDEX
967420800,117.00,117.00,117.00,117.00,97920,VNINDEX
967593600,115.15,115.15,115.15,115.15,126510,VNINDEX
967766400,113.37,113.37,113.37,113.37,96600,VNINDEX
968198400,112.51,112.51,112.51,112.51,60900,VNINDEX
968371200,112.39,112.39,112.39,112.39,49500,VNINDEX
968630400,114.11,114.11,114.11,114.11,31300,VNINDEX
968803200,116.08,116.08,116.08,116.08,18400,VNINDEX
968976000,118.04,118.04,118.04,118.04,45900,VNINDEX
969235200,118.19,118.19,118.19,118.19,64600,VNINDEX
969408000,118.21,118.21,118.21,118.21,41600,VNINDEX
969580800,118.76,118.76,118.76,118.76,66900,VNINDEX
969840000,118.98,118.98,118.98,118.98,56600,VNINDEX
970012800,119.69,119.69,119.69,119.69,56610,VNINDEX
970185600,120.71,120.71,120.71,120.71,52800,VNINDEX
970444800,120.92,120.92,120.92,120.92,48600,VNINDEX
970617600,121.14,121.14,121.14,121.14,58400,VNINDEX
970790400,122.21,122.21,122.21,122.21,39600,VNINDEX
971049600,124.33,124.33,124.33,124.33,25900,VNINDEX
971222400,126.45,126.45,126.45,126.45,53300,VNINDEX
971395200,128.57,128.57,128.57,128.57,51900,VNINDEX
971654400,130.71,130.71,130.71,130.71,26600,VNINDEX
971827200,132.85,132.85,132.85,132.85,25700,VNINDEX
972000000,135.04,135.04,135.04,135.04,65900,VNINDEX
972259200,136.55,136.55,136.55,136.55,39100,VNINDEX
972432000,137.08,137.08,137.08,137.08,45000,VNINDEX
972604800,139.57,139.57,139.57,139.57,88200,VNINDEX
972864000,140.84,140.84,140.84,140.84,101200,VNINDEX
973036800,143.33,143.33,143.33,143.33,95900,VNINDEX
973209600,145.83,145.83,145.83,145.83,78800,VNINDEX
973468800,148.57,148.57,148.57,148.57,55300,VNINDEX
973641600,151.32,151.32,151.32,151.32,29200,VNINDEX
973814400,154.08,154.08,154.08,154.08,57300,VNINDEX
974073600,156.84,156.84,156.84,156.84,21700,VNINDEX
974246400,159.60,159.60,159.60,159.60,13400,VNINDEX
974419200,162.36,162.36,162.36,162.36,35350,VNINDEX
974678400,165.70,165.70,165.70,165.70,63910,VNINDEX
974851200,165.52,165.52,165.52,165.52,136700,VNINDEX
975024000,166.17,166.17,166.17,166.17,117420,VNINDEX
975283200,165.60,165.60,165.60,165.60,90400,VNINDEX
975456000,168.73,168.73,168.73,168.73,76800,VNINDEX
975628800,171.87,171.87,171.87,171.87,43300,VNINDEX
975888000,175.00,175.00,175.00,175.00,28500,VNINDEX
976060800,178.13,178.13,178.13,178.13,60200,VNINDEX
